"times","S","E","On","Of","A","Q","Bs","Bp","v","w","N","POUD","actPOUD","prop.OAT","prop.capacity","dsct","cost","qaly","inj","du.init","date","B_total","O_total","active_users","coverage_rate","capacity_utilization","waiting_change","patients_change"
11,38406.8168707372,31111.5161256191,5387.90547865871,169.220430960882,2547.33914747422,278.127503109222,399.607888974831,1348.90024738199,0.950198408086832,0.969254997633698,79649.4336929161,10131.1006965598,5835.2534127288,0.172588170696058,0.172735426526186,0.999102075556149,1781.16357005417,172.593966461349,8725.11293696782,2.28413500765429,0.0301369863013699,1748.50813635682,5557.1259096196,5835.2534127288,17.2588170696058,99.914750648961,-0.943171689393182,0.146387481303918
12,38404.3137053063,31111.6124486096,5388.00497390196,169.911766535683,2547.33039956293,277.277188717839,399.616673840852,1348.94631889917,0.949968659850926,0.969105507825963,79647.0134753743,10131.0873214584,5835.19392915548,0.172593813206647,0.172735654572176,0.999020486052384,1781.06319609066,172.574353361342,8724.74461824697,2.28403834960694,0.0328767123287671,1748.56299274002,5557.91674043764,5835.19392915548,17.2593813206647,99.91788529943,-0.850314391383733,0.0548563832062428
13,38401.8108344094,31111.7085779564,5388.1036496812,170.602572620944,2547.32160943488,276.462483306197,399.619965291867,1348.96358376605,0.949737483703416,0.968956054342668,79644.593276467,10131.0738641012,5835.16870560836,0.172596071503724,0.172735884021241,0.998938903211448,1780.93464129912,172.55473818913,8724.41863708015,2.28394906144614,0.0356164383561644,1748.58354905791,5558.70622230215,5835.16870560836,17.2596071503724,99.9190599461665,-0.814705411641285,0.0205563178894863
14,38399.3082534181,31111.8045136982,5388.20152198986,171.292840338402,2547.31277737261,275.661932674296,399.621198442725,1348.9700534369,0.949504879110484,0.96880663895026,79642.1730913711,10131.0603242548,5835.15629500255,0.172597062490421,0.172736114877366,0.998857327032798,1780.79553434782,172.535123577729,8724.10863476458,2.28386253583721,0.0383561643835616,1748.59125187962,5559.49436232826,5835.15629500255,17.2597062490421,99.9195001074071,-0.800550631901388,0.00770282171106373
15,38396.8059605826,31111.9002558733,5388.29859756246,171.982566761734,2547.30390350305,274.867495993988,399.621660379,1348.97247764302,0.949270845580817,0.968657262319968,79639.7529182991,10131.0467018433,5835.14866031819,0.172597579448911,0.172736347141861,0.99877575751589,1780.65248084102,172.515510513646,8723.80473353283,2.28377704626334,0.0410958904109589,1748.59413802202,5560.28116432419,5835.14866031819,17.2597579448911,99.9196650298297,-0.794436680307683,0.00288614239525486
16,38394.3039552317,31111.9958045202,5388.39487966409,172.671751193226,2547.29498789484,274.076158921627,399.621833352188,1348.97338582327,0.949035382652052,0.968507924712824,79637.3327566012,10131.0329968492,5835.14278977893,0.17259791965136,0.172736580815032,0.998694194660179,1780.50795595154,172.495899366432,8723.5032316298,2.2836919457416,0.0438356164383562,1748.59521917546,5561.06663085732,5835.14278977893,17.259791965136,99.9197268100262,-0.791337072361159,0.00108115343891768
17,38391.8022370988,31112.0911596772,5388.49037025962,173.360393768864,2547.28603059475,273.286790723447,399.62189805463,1348.97372587627,0.948798489885765,0.968358626236304,79634.9126060536,10131.0192092776,5835.13755475193,0.172598194496523,0.172736815896807,0.998612638465122,1780.3628871461,172.476290274461,8723.20274167964,2.28360699182463,0.0465753424657534,1748.5956239309,5561.85076402849,5835.13755475193,17.2598194496523,99.9197499389086,-0.789368198179886,0.000404755441650195
18,38389.3008060685,31112.1863213826,5388.58507082637,174.048494935744,2547.27703164135,272.49896652505,399.621922189013,1348.97385302381,0.948560166865665,0.968209366940468,79632.4924665925,10131.0053391413,5835.13253228717,0.172598445729476,0.172737052386977,0.998531088930175,1780.21762195339,172.456683289481,8722.90274358993,2.28352209365737,0.0493150684931507,1748.59577521282,5562.63356576212,5835.13253228717,17.2598445729476,99.9197585835896,-0.787824198397402,0.00015128191785152
19,38386.7996620824,31112.2812896747,5388.67898265868,174.736055256294,2547.26799107008,271.712525965038,399.621931122509,1348.97390038403,0.948320413197006,0.96806014685398,79630.0723382138,10130.9913864566,5835.12756388001,0.172598688993469,0.172737290285277,0.998449546054793,1780.07229059462,172.437078430786,8722.60304227177,2.28343721719124,0.0520547945205479,1748.59583150654,5563.41503791497,5835.12756388001,17.2598688993469,99.9197618003739,-0.786440560012011,5.62937241284089e-05
20,38384.2988051031,31112.3760645918,5388.77210698197,175.423075334925,2547.25890891526,270.927407806326,399.621934359814,1348.97391784253,0.948079228506462,0.967910965997605,79627.6522209358,10130.9773512408,5835.12259012324,0.172598930150424,0.172737529591423,0.998368009838434,1779.92694186414,172.417475705505,8722.30356442755,2.28335234966483,0.0547945205479452,1748.59585220235,5564.19518231689,5835.12259012324,17.2598930150424,99.9197629829913,-0.785118158712407,2.06958043236227e-05
21,38381.7982351015,31112.4706461722,5388.86444499551,176.109555790561,2547.24978521072,270.14358795892,399.621935462195,1348.97392409375,0.947836612442159,0.967761824389261,79625.2321147854,10130.9632335117,5835.11758874501,0.172599171396838,0.172737770305124,0.998286480280552,1779.78159404497,172.397875116208,8722.00428239989,2.28326748629372,0.0575342465753425,1748.59585955595,5564.97400078607,5835.11758874501,17.2599171396838,99.919763403197,-0.783819847405368,7.35360094950011e-06
22,38379.2979520512,31112.5650344541,5388.95599788844,176.79549724634,2547.24061999011,269.361056254781,399.621935764005,1348.97392614338,0.947592564673783,0.967612722045916,79622.8120197924,10130.949033287,5835.11255138955,0.172599413555636,0.172738012426088,0.998204957380606,1779.6362539873,172.378276663761,8721.70518563498,2.28318262528271,0.0602739726027397,1748.59586190738,5565.75149513477,5835.11255138955,17.2599413555636,99.9197635375646,-0.782531704139615,2.3514328404417e-06
23,38376.7979559271,31112.6592294759,5389.04676684574,177.480900325764,2547.231413287,268.5798077445,399.621935765204,1348.97392661676,0.947347084892714,0.967463658984293,79620.391935988,10130.934750585,5835.10747491602,0.172599656935012,0.172738255954018,0.99812344113805,1779.49092425735,172.358680348388,8721.40626998895,2.28309776595678,0.063013698630137,1748.59586238196,5566.5276671715,5835.10747491602,17.2599656935012,99.9197635646836,-0.781248510280079,4.7458252083743e-07
